"Date","Price","Open","High","Low","Vol.","Change %"
"18-09-2020","73.540","73.471","73.607","73.143","","-0.10%"
"17-09-2020","73.610","73.705","73.790","73.590","","0.09%"
"16-09-2020","73.545","73.585","73.788","73.475","","-0.09%"
"15-09-2020","73.610","73.400","73.740","73.310","","0.31%"
"14-09-2020","73.385","73.493","73.615","73.275","","-0.07%"
"11-09-2020","73.440","73.530","73.620","73.410","","0.00%"
"10-09-2020","73.440","73.453","73.508","73.160","","0.18%"
"09-09-2020","73.310","73.795","73.825","73.310","","-0.60%"
"08-09-2020","73.750","73.630","73.976","73.390","","0.41%"
"07-09-2020","73.447","73.292","73.490","73.028","","0.21%"
"04-09-2020","73.291","73.462","73.492","72.996","","-0.14%"
"03-09-2020","73.391","73.202","73.554","73.151","","0.17%"
"02-09-2020","73.269","73.137","73.302","72.892","","0.36%"
"01-09-2020","73.004","73.212","73.221","72.751","","-0.35%"
"31-08-2020","73.257","73.115","73.703","73.043","","0.19%"
"28-08-2020","73.115","73.816","73.876","73.115","","-1.07%"
"27-08-2020","73.904","74.290","74.375","73.780","","-0.43%"
"26-08-2020","74.222","74.205","74.463","74.183","","0.00%"
"25-08-2020","74.223","74.112","74.535","74.082","","0.07%"
"24-08-2020","74.169","74.922","74.922","73.949","","-1.01%"
"21-08-2020","74.922","74.962","74.992","74.816","","-0.12%"
"20-08-2020","75.013","74.966","75.131","74.931","","0.22%"
"19-08-2020","74.847","74.642","74.931","74.612","","0.36%"
"18-08-2020","74.575","74.735","74.888","74.575","","-0.23%"
"17-08-2020","74.744","74.875","74.911","74.715","","-0.21%"
"14-08-2020","74.903","74.899","74.994","74.754","","0.12%"
"13-08-2020","74.812","74.751","74.931","74.751","","0.02%"
"12-08-2020","74.795","74.605","74.935","74.605","","0.23%"
"11-08-2020","74.620","74.840","74.875","74.531","","-0.34%"
"10-08-2020","74.875","75.028","75.028","74.860","","-0.20%"
"07-08-2020","75.025","75.078","75.111","74.897","","0.17%"
"06-08-2020","74.900","74.860","75.014","74.785","","0.14%"
"05-08-2020","74.798","74.971","75.012","74.747","","-0.35%"
"04-08-2020","75.061","75.161","75.202","74.955","","-0.16%"
"03-08-2020","75.185","74.921","75.312","74.845","","0.36%"
